Cilindrada,Potencia,Velocidad,Comodidad,Espacioso,Silencioso
1396,90,174,"9,95","9,05",10
1721,92,170,"7,96","9,02",10
1580,83,154,"6,95","6,95","7,99"
1769,90,180,"1,15","2,06","1,05"
2068,88,180,"3,05","3,02","3,02"
1769,90,182,"2,99","2,99","1,06"
2986,188,226,"1,98",2,0
2675,177,222,"1,91","1,85","1,01"
2548,182,226,"1,93","3,1","1,06"
1998,122,190,"2,05","2,08","2,06"
1905,125,194,"2,15","3,01","1,99"
1993,115,185,"6,13","3,99","3,87"
1294,103,189,"1,09",1,"0,16"
1461,100,181,"3,89","4,09","1,09"
1294,95,184,0,1,"0,2"
1396,90,174,"9,95","9,05",10
1721,92,170,"7,96","9,02",10
1580,83,154,"6,95","6,95","7,99"
1769,90,180,"1,15","2,06","1,05"
2068,88,180,"3,05","3,02","3,02"
1769,90,182,"2,99","2,99","1,06"
2986,188,226,"1,98",2,0
2675,177,222,"1,91","1,85","1,01"
2548,182,226,"1,93","3,1","1,06"
1998,122,190,"2,05","2,08","2,06"
1905,125,194,"2,15","3,01","1,99"
1993,115,185,"6,13","3,99","3,87"
1294,103,189,"1,09",1,"0,16"
1461,100,181,"3,89","4,09","1,09"
1294,95,184,0,1,"0,2"
1396,90,174,"9,95","9,05",10
1721,92,170,"7,96","9,02",10
1580,83,154,"6,95","6,95","7,99"
1769,90,180,"1,15","2,06","1,05"
2068,88,180,"3,05","3,02","3,02"
1769,90,182,"2,99","2,99","1,06"
2986,188,226,"1,98",2,0
2675,177,222,"1,91","1,85","1,01"
2548,182,226,"1,93","3,1","1,06"
1998,122,190,"2,05","2,08","2,06"
1905,125,194,"2,15","3,01","1,99"
1993,115,185,"6,13","3,99","3,87"
1294,103,189,"1,09",1,"0,16"
1461,100,181,"3,89","4,09","1,09"
1294,95,184,0,1,"0,2"
1396,90,174,"9,95","9,05",10
1721,92,170,"7,96","9,02",10
1580,83,154,"6,95","6,95","7,99"
1769,90,180,"1,15","2,06","1,05"
2068,88,180,"3,05","3,02","3,02"
1769,90,182,"2,99","2,99","1,06"
2986,188,226,"1,98",2,0
2675,177,222,"1,91","1,85","1,01"
2548,182,226,"1,93","3,1","1,06"
1998,122,190,"2,05","2,08","2,06"
1905,125,194,"2,15","3,01","1,99"
1993,115,185,"6,13","3,99","3,87"
1294,103,189,"1,09",1,"0,16"
1461,100,181,"3,89","4,09","1,09"
1294,95,184,0,1,"0,2"
1396,90,174,"9,95","9,05",10
1721,92,170,"7,96","9,02",10
1580,83,154,"6,95","6,95","7,99"
1769,90,180,"1,15","2,06","1,05"
2068,88,180,"3,05","3,02","3,02"
1769,90,182,"2,99","2,99","1,06"
2986,188,226,"1,98",2,0
2675,177,222,"1,91","1,85","1,01"
2548,182,226,"1,93","3,1","1,06"
1998,122,190,"2,05","2,08","2,06"
1905,125,194,"2,15","3,01","1,99"
1993,115,185,"6,13","3,99","3,87"
1294,103,189,"1,09",1,"0,16"
1461,100,181,"3,89","4,09","1,09"
1294,95,184,0,1,"0,2"
1396,90,174,"9,95","9,05",10
1721,92,170,"7,96","9,02",10
1580,83,154,"6,95","6,95","7,99"
1769,90,180,"1,15","2,06","1,05"
2068,88,180,"3,05","3,02","3,02"
1769,90,182,"2,99","2,99","1,06"
2986,188,226,"1,98",2,0
2675,177,222,"1,91","1,85","1,01"
2548,182,226,"1,93","3,1","1,06"
1998,122,190,"2,05","2,08","2,06"
1905,125,194,"2,15","3,01","1,99"
1993,115,185,"6,13","3,99","3,87"
1294,103,189,"1,09",1,"0,16"
1461,100,181,"3,89","4,09","1,09"
1294,95,184,0,1,"0,2"
1396,90,174,"9,95","9,05",10
1721,92,170,"7,96","9,02",10
1580,83,154,"6,95","6,95","7,99"
1769,90,180,"1,15","2,06","1,05"
2068,88,180,"3,05","3,02","3,02"
1769,90,182,"2,99","2,99","1,06"
2986,188,226,"1,98",2,0
2675,177,222,"1,91","1,85","1,01"
2548,182,226,"1,93","3,1","1,06"
1998,122,190,"2,05","2,08","2,06"
1905,125,194,"2,15","3,01","1,99"
1993,115,185,"6,13","3,99","3,87"
1294,103,189,"1,09",1,"0,16"
1461,100,181,"3,89","4,09","1,09"
1294,95,184,0,1,"0,2"
1396,90,174,"9,95","9,05",10
1721,92,170,"7,96","9,02",10
1580,83,154,"6,95","6,95","7,99"
1769,90,180,"1,15","2,06","1,05"
2068,88,180,"3,05","3,02","3,02"
1769,90,182,"2,99","2,99","1,06"
2986,188,226,"1,98",2,0
2675,177,222,"1,91","1,85","1,01"
2548,182,226,"1,93","3,1","1,06"
1998,122,190,"2,05","2,08","2,06"
1905,125,194,"2,15","3,01","1,99"
1993,115,185,"6,13","3,99","3,87"
1294,103,189,"1,09",1,"0,16"
1461,100,181,"3,89","4,09","1,09"
1294,95,184,0,1,"0,2"
