,0,columna_limpia
0,a,
1,o,
2,smith,smith
3,corp,corp
4,aos.n,aos.n
5,stifel,stifel
6,cuts,cuts
7,target,target
8,price,price
9,to,
10,from,
11,advanced,advanced
12,micro,micro
13,devices,devices
14,inc,inc
15,amd.o,amd.o
16,deutsche,deutsche
17,bank,bank
18,cuts,cuts
19,target,target
20,price,price
21,to,
22,from,
23,afc,afc
24,gamma,gamma
25,inc,inc
26,afcg.o,afcg.o
27,jefferies,jefferies
28,cuts,cuts
29,target,target
30,price,price
31,to,
32,from,
33,ag,ag
34,mortgage,mortgage
35,investment,investment
36,trust,trust
37,inc,inc
38,mitt.n,mitt.n
39,credit,credit
40,suisse,suisse
41,cuts,cuts
42,target,target
43,price,price
44,to,
45,from,
46,agilent,agilent
47,technologies,technologies
48,inc,inc
49,a.n,a.n
50,ubs,ubs
51,initiates,initiates
52,coverage,coverage
53,with,
54,buy,buy
55,rating,rating
56,target,target
57,price,price
58,airbnb,airbnb
59,inc,inc
60,abnb.o,abnb.o
61,stifel,stifel
62,cuts,cuts
63,target,target
64,price,price
65,to,
66,from,
67,alliant,alliant
68,energy,energy
69,corp,corp
70,lnt.o,lnt.o
71,bmo,bmo
72,cuts,cuts
73,target,target
74,price,price
75,to,
76,from,
77,ally,ally
78,financial,financial
79,inc,inc
80,ally.n,ally.n
81,barclays,barclays
82,cuts,cuts
83,target,target
84,price,price
85,to,
86,from,
87,ally,ally
88,financial,financial
89,inc,inc
90,ally.n,ally.n
91,bmo,bmo
92,cuts,cuts
93,target,target
94,price,price
95,to,
96,from,
97,ally,ally
98,financial,financial
99,inc,inc
100,ally.n,ally.n
101,credit,credit
102,suisse,suisse
103,cuts,cuts
104,target,target
105,price,price
106,to,
107,from,
108,ally,ally
109,financial,financial
110,inc,inc
111,ally.n,ally.n
112,deutsche,deutsche
113,bank,bank
114,cuts,cuts
115,target,target
116,price,price
117,to,
118,from,
119,ally,ally
120,financial,financial
121,inc,inc
122,ally.n,ally.n
123,evercore,evercore
124,isi,isi
125,cuts,cuts
126,target,target
127,price,price
128,to,
129,from,
130,ally,ally
131,financial,financial
132,inc,inc
133,ally.n,ally.n
134,evercore,evercore
135,isi,isi
136,cuts,cuts
137,to,
138,in,
139,line,line
140,from,
141,outperform,outperform
142,ally,ally
143,financial,financial
144,inc,inc
145,ally.n,ally.n
146,morgan,morgan
147,stanley,stanley
148,cuts,cuts
149,target,target
150,price,price
151,to,
152,from,
153,ally,ally
154,financial,financial
155,inc,inc
156,ally.n,ally.n
157,raymond,raymond
158,james,james
159,cuts,cuts
160,target,target
161,price,price
162,to,
163,from,
164,ally,ally
165,financial,financial
166,inc,inc
167,ally.n,ally.n
168,wells,wells
169,fargo,fargo
170,cuts,cuts
171,target,target
172,price,price
173,to,
174,from,
175,amazon.com,amazon.com
176,inc,inc
177,amzn.o,amzn.o
178,bofa,bofa
179,global,global
180,research,research
181,cuts,cuts
182,price,price
183,objective,objective
184,to,
185,from,
186,amazon.com,amazon.com
187,inc,inc
188,amzn.o,amzn.o
189,jefferies,jefferies
190,cuts,cuts
191,target,target
192,price,price
193,to,
194,from,
195,ambarella,ambarella
196,inc,inc
197,amba.o,amba.o
198,deutsche,deutsche
199,bank,bank
200,cuts,cuts
201,target,target
202,price,price
203,to,
204,from,
205,ameren,ameren
206,corp,corp
207,aee.n,aee.n
208,bmo,bmo
209,cuts,cuts
210,target,target
211,price,price
212,to,
213,from,
214,american,american
215,electric,electric
216,power,power
217,company,company
218,inc,inc
219,aep.o,aep.o
220,bmo,bmo
221,cuts,cuts
222,target,target
223,price,price
224,to,
225,from,
226,amplitude,amplitude
227,inc,inc
